Producto,Precio Final,Precio Anterior,Cantidad Medida,Descuento
 Plátano Chiapas Alsuper Por Kg , $21.90, $36.90 ,KG,41
 Lechuga Bola Alsuper Por Pieza , $15.90, $29.90 ,1 PZ,47
 Pepino Orgánico Campo Vivo    2 Piez... , $36.90,,1 PZ,0
 Aguacate Orgánico Campo Vivo    3 Pi... , $89.90,,1 PZ,0
 Tomate Bola Orgánico Mr Lucky    1 P... , $49.90,,1 PZ,0
 Cebollita De Rabo Alsuper Por Manojo , $12.90, $18.90 ,1 PZ,32
 Guacamole Alsuper De 500 G , $49.90, $54.90 ,500 GR,9
 Jugo De Naranja Con Betabel Natural ... , $79.90,,1 LT,0
 Cebollita Cambray Alsuper Por Manojo , $8.90, $9.90 ,1 PZ,10
 Lechuga Italiana Orgánica Mr Lucky P... , $29.90,,1 PZ,0
 Lechuga Sangría Orgánica Mr Lucky   ... , $29.90,,1 PZ,0
 Cilantro Alsuper Por Manojo , $8.50, $9.90 ,1 PZ,14
 Verdura Surtida Alsuper 930 G , $29.90,,1 PZ,0
 Perejil Chino Alsuper Por Manojo , $12.90,,1 PZ,0
 Mini Sandia Extra Dulce Alsuper Por ... , $18.90, $32.90 ,KG,43
 Perejil Liso Alsuper Por Manojo , $6.90,,1 PZ,0
 Jugo Verde Dietético Natural Alsuper... , $79.90,,1 LT,0
 Coctel Charola Premium Alsuper 1.35 ... , $89.90,,1 PZ,0
 Pápalo Alsuper    1 Pieza , $14.90,,1 PZ,0
 Bok Choy Alsuper    1 Pieza , $38.90,,1 PZ,0
 Chícharo Chino Alsuper 300 G , $64.90,,1 PZ,0
 Hoja Santa Alsuper    1 Pieza , $18.90,,1 PZ,0
 Betabel  Alsuper Por Manojo , $25.90, $39.90 ,1 PZ,35
 Radiccio Alsuper Por Pieza , $36.90,,1 PZ,0
 Manzana Fuji . 1 Kilogram , $79.90,,KG,0
 Limón Amarillo Alsuper Por Kg , $44.90,,KG,0
 Champiñón Cremini Monte Blanco De 22... , $26.90,,1 PZ,0
 Zanahoria Alsuper Por Kg , $11.90, $26.90 ,KG,56
 Acelgas Alsuper Por Manojo , $8.90, $12.90 ,1 PZ,31
 Cebolla Blanca Orgánica Campo Vivo  ... , $59.90,,1 PZ,0
 Espinacas Alsuper Por Manojo , $12.90,,1 PZ,0
 Coco Pelado Rebanado  Alsuper 350 G , $49.90,,1 PZ,0
 Lechuga Francesa Hidropónica Eva    ... , $36.90,,1 PZ,0
 Lechuga Italiana Hidropónica Eva    ... , $36.90,,1 PZ,0
 Ensalada Primavera Hidropónica Eva 2... , $44.90,,1 PZ,0
 Ensalada Toscana Hidropónica Eva 250... , $64.90,,1 PZ,0
 Ensalada Mixta Hidropónica Eva 200 G , $44.90,,1 PZ,0
 Lechuga Orejona Alsuper Por Pieza , $19.90, $34.90 ,1 PZ,43
 Chile De Árbol Alsuper 1 Kg , $149.90,,KG,0
 Champiñón Blanco Rebanado Monte Blan... , $27.90,,1 PZ,0
 Champiñón Cremini Rebanado Monte Bla... , $27.90,,1 PZ,0
 Hongo Portabelini  Monte Blanco De 2... , $29.90, $36.90 ,1 PZ,19
 Lechuga Mini Francesa Hidropónica Ev... , $42.90,,1 PZ,0
 Rábano Manojo Alsuper Por Manojo , $8.90,,1 PZ,0
 Papa Cambray Alsuper 600 G , $34.90,,1 PZ,0
 Hinojo Bulbo     1 Pieza , $34.90,,1 PZ,0
 Tomatillo Milpero Alsuper 454 G , $34.90,,1 PZ,0
 Rábano Alsuper 435.3 G , $13.90,,1 PZ,0
 Hongo Portabello Rebanado Monte Blan... , $67.90,,1 PZ,0
 Okra Alsuper    1 Pieza , $35.90,,1 PZ,0
 Cúrcuma  Alsuper Por Kg , $34.90,,KG,0
 Hoja Mixiote Alsuper    1 Pieza , $25.90,,1 PZ,0
 Colinabo  1 Kilogram , $39.90,,KG,0
 Ruibarbo     1 Pieza , $16.90,,1 PZ,0
 Tomate Uva Alsuper 300 G , $32.90,,1 PZ,0
 Chile Húngaro Alsuper Por Kg , $79.90,,KG,0
 Verdolagas Alsuper Por Manojo , $15.90,,1 PZ,0
 Kiwi Sun Gold Zespri 400 Gramos , $99.90,,400 GR,0
 Arugula Baby Alsuper 120 G , $49.90,,1 PZ,0
 Lechuga Sucrine Fresh Garden    1 Pi... , $52.90,,1 PZ,0
 Floretes De Brócoli Mr Lucky 454 G , $42.90,,1 PZ,0
 Ensalada Francesa Mr Lucky 200 G , $34.90,,1 PZ,0
 Tuna Pelada Alsuper Por Kg , $39.90, $54.90 ,KG,27
 Pepino  Alsuper Por Kg , $18.90, $36.90 ,KG,49
 Camote Alsuper Por Kg , $64.90,,KG,0
 Jugo Antioxidante Natural Alsuper   ... , $149.90,,1 LT,0
 Champiñón Blanco Monte Blanco Con 45... , $56.90,,1 PZ,0
 Germinado De Brócoli Alsuper 100 G , $47.90,,1 PZ,0
 Champiñón Cremini  Monte Blanco De 4... , $56.90,,1 PZ,0
 Cilantro Orgánico Campo Vivo    1 Pi... , $25.90,,1 PZ,0
 Perejil Liso Orgánico Campo Vivo    ... , $25.90,,1 PZ,0
 Ciruela Alsuper Por Kg , $49.90, $79.90 ,KG,38
 Palitos De Apio Mr Lucky 400 G , $32.90,,1 PZ,0
 Coctel Individual Premium Alsuper De... , $22.90,,1 PZ,0
 Coctel Con Yogurt Alsuper De 350 G , $29.90,,1 PZ,0
 Ensalada Mexicana Hidropónica Eva 25... , $64.90,,1 PZ,0
 Coco De Agua Alsuper Por Pieza , $24.90, $34.90 ,1 PZ,29
 Coctel Especial Premium Alsuper Por ... , $59.90,,1 KG,0
 Higo  Alsuper De 453 G , $49.90, $69.90 ,1 PZ,29
 Chile Hungaro Tostado Alsuper 1 Kilo... , $89.90, $119.90 ,KG,25
 Melón Gota De Miel Alsuper Por Kg , $29.90, $39.90 ,KG,25
 Ensalada Italiana Orgánica Mr Lucky ... , $49.90,,1 PZ,0
 Ensalada Francesa Orgánica Mr Lucky ... , $49.90,,1 PZ,0
 Manzana Red Delicious Importada  1 K... , $36.90, $69.90 ,KG,47
 Kiwi Alsuper Por Kg , $69.90, $149.90 ,KG,53
 Jugo De Limón Natural Alsuper 473 Ml , $99.90,,473 ML,0
 Espinacas En Bolsa Alsuper De 290 Gr... , $39.90, $59.90 ,1 PZ,33
 Ensalada Mix Domo Alsuper 750 G , $42.90,,1 PZ,0
 Ensalada Mexicana Domo Alsuper 750 G , $39.90,,1 PZ,0
 Lima Yucateca Alsuper 1 Kilogram , $54.90, $79.90 ,KG,31
 Ensalada Suprema Domo Alsuper 750 G , $29.90,,1 PZ,0
 Brochetas Vegetarianas  Alsuper    5... , $54.90,,1 PZ,0
 Corazón De Lechuga Orejona Orgánico ... , $56.90,,1 PZ,0
 Limón Agrio Sin Semilla  Alsuper Por... , $26.90, $39.90 ,KG,33
 Alfalfa Alsuper 100 G , $36.90,,1 PZ,0
 Fenogreco Alsuper 100 G , $37.90,,1 PZ,0
 Trigo Alsuper 150 G , $34.90,,1 PZ,0
 Lenteja Alsuper 150 G , $37.90,,1 PZ,0
 Nopal Picado Limpio Alsuper Por Kg , $38.90, $49.90 ,KG,22
 Tuna Dulce Alsuper Por Kg , $17.90, $39.90 ,KG,55
 Plátano Macho Alsuper Por Kg , $39.90, $49.90 ,KG,20
 Plátano Dominico Alsuper Por Kg , $36.90, $49.90 ,KG,26
 Plátano Morado Alsuper Por Kg , $34.90, $49.90 ,KG,30
 Ciruela De Temporada Alsuper Por Kg , $49.90, $79.90 ,KG,38
 Tomate Cherry Alsuper 300 G , $32.90,,1 PZ,0
 Berenjena Alsuper Por Kg , $42.90, $49.90 ,KG,14
 Granada Alsuper Por Kg , $69.90, $99.90 ,KG,30
 Manzana Golden Delicious Alsuper Por... , $49.90, $69.90 ,KG,29
 Cebolla Amarilla Alsuper Por Kg , $17.90, $24.90 ,KG,28
 Cebolla Morada Alsuper Por Kg , $29.90, $44.90 ,KG,33
 Hoja Para Tamal Mimarca 100 G , $18.90, $24.90 ,100 GR,24
 Poro Alsuper Por Pieza , $16.90,,1 PZ,0
 Repollo Morado Alsuper Por Kg , $26.90,,KG,0
 Romeritos Alsuper Por Kg , $19.90,,KG,0
 Alcachofa  Alsuper    1 Pieza , $54.90,,1 PZ,0
 Chilacayote Alsuper 1 Kg , $79.90,,KG,0
 Cereza Dulce  Alsuper    1 Pieza , $39.90, $89.90 ,1 PZ,56
 Epazote Alsuper De 40 G , $12.90,,1 PZ,0
 Esparrago Verde Alsuper Por Manojo , $79.90, $99.90 ,1 PZ,20
 Calabacita Alsuper Por Kg , $19.90, $34.90 ,KG,43
 Habas Verdes Alsuper 1 Kg , $45.90,,KG,0
 Hierbabuena Alsuper  40 G , $12.90,,1 PZ,0
 Hierba Olor Alsuper  40 G , $12.90,,1 PZ,0
 Hoja Naranjo Alsuper  40 G , $12.90,,1 PZ,0
 Kale Alsuper    1 Pieza , $14.90,,1 PZ,0
 Huazontle Alsuper    1 Pieza , $13.90,,1 PZ,0
 Desinfectante Liquido Microdyn 15 Mi... , $29.90,,15 ML,0
 Desinfectante Liquido Biopur 25 Mili... , $22.90,,25 ML,0
 Jengibre Alsuper Por Kg , $39.90,,KG,0
 Manzanilla Alsuper  40 G , $12.90,,1 PZ,0
 Guacamole Alsuper 250 G , $26.90,,1 PZ,0
 Te De Limón Alsuper   1 Manojo , $12.90,,1 PZ,0
 Vaina Pájaro Alsuper    1 Pieza , $11.90,,1 PZ,0
 Xoconostle Alsuper Por Kg , $34.90,,KG,0
 Yuca Alsuper Por Kg , $49.90,,KG,0
 Tomate Bola Alsuper Por Kg , $26.90, $49.90 ,KG,46
 Melón Chino Alsuper Por Kg , $16.90, $29.90 ,KG,43
 Frambuesa Alsuper 170 G , $59.90, $114.90 ,1 PZ,48
 Lechuga Italiana Alsuper Por Pieza , $23.90,,1 PZ,0
 Lechuga Roja Alsuper Por Pieza , $23.90,,1 PZ,0
 Rollitos De Jícama Zanahoria Pepino ... , $28.90,,1 PZ,0
 Sandía Alsuper Por Kg , $9.90, $19.90 ,KG,50
 Pitahaya Alsuper Por Kg , $89.90, $119.90 ,KG,25
 Champiñón Blanco Monte Blanco De 225... , $31.90, $39.90 ,1 PZ,20
 Lechuga Trio Hidropónica Eva    1 Pi... , $39.90,,1 PZ,0
" Coctel Melón Gota De Miel, Sandia Y ... ", $39.90,,1 PZ,0
 Quelite Alsuper   1 Manojo , $11.90,,1 PZ,0
 Rodajas De Kiwi Alsuper De 320 G , $69.90,,1 PZ,0
 Nopal En Penca Limpio Alsuper Por Kg , $34.90, $49.90 ,KG,30
 Chile Jalapeño Alsuper Por Kg , $19.90, $49.90 ,KG,60
 Hoja Laurel Alsuper  40 G , $12.90,,1 PZ,0
 Flor De Calabaza  100 Gramos , $39.90,,100 GR,0
 Mezcla De Verduras Alsuper 495 G , $26.90,,1 PZ,0
 Tiras De Jícama Zanahoria Y Pepino A... , $24.90,,1 PZ,0
 Chile Chilaca Alsuper Por Kg , $29.90, $69.90 ,KG,57
 Fresas Sin Rabo Alsuper Con 320 G , $34.90, $59.90 ,1 PZ,42
 Mix Para Salsa Roja Alsuper 1 Kg , $39.90, $56.90 ,KG,30
 Jugo Toronja Natural  Alsuper De 473... , $49.90,,473 ML,0
 Jugo Verde Dietético Natural Alsuper... , $44.90,,473 ML,0
 Jugo Antioxidante Natural Alsuper De... , $79.90,,473 ML,0
 Endivia Fresh Garden Alsuper 400 G , $74.90,,1 PZ,0
 Mango Haden Alsuper Por Kg , $22.90, $49.90 ,KG,54
 Ensalada De Kale Organico Mr Lucky 2... , $54.90,,200 GR,0
 Mango Manila Alsuper Por Kg , $89.90, $119.90 ,KG,25
 Ensalada Mediana Alsuper 450 G , $24.90,,1 PZ,0
 Pera Asiatica Alsuper Por Kg , $89.90,,KG,0
 Mango Ataulfo Alsuper Por Kg , $29.90, $59.90 ,KG,50
 Pera Bosc Alsuper Por Kg , $89.90,,KG,0
 Zanahoria Bolsa  Alsuper    1 Pieza , $10.90, $15.90 ,1 PZ,31
 Lechuga Baby Romaine Hidropónica Eva... , $42.90,,1 PZ,0
 Limón Agrio   Alsuper Por Kg , $32.90, $49.90 ,KG,34
 Árnica Alsuper  40 G , $12.90,,1 PZ,0
 Chile Piquín Alsuper  50 G , $69.90,,1 PZ,0
 Pimiento Padrón 300 Grs Alsuper 300 ... , $89.90,,1 PZ,0
 Desinfectante Liquido Microdyn 90 Mi... , $59.90,,90 ML,0
 Cacahuate Alsuper Alsuper Por Kg , $84.90, $119.90 ,KG,29
 Coctel De Mango Alsuper De 250 Gramo... , $19.90, $34.90 ,250 GR,43
 Coctel De Mango  Alsuper De 500 Gram... , $34.90, $59.90 ,500 GR,42
 Pimiento Morrón Semáforo Alsuper Por... , $39.90, $69.90 ,1 PZ,43
 Pimiento Morrón Arcoíris Alsuper Por... , $39.90, $69.90 ,1 PZ,43
 Tomate Cherry Glorys Naturesweet    ... , $49.90,,1 PZ,0
 Tomate Uva Cherubs Naturesweet    1 ... , $49.90,,1 PZ,0
 Hojas De Lechuga Orejona Mr Lucky 30... , $46.90,,1 PZ,0
 Espinaca Baby Popeye Mr Lucky    1 P... , $59.90,,1 PZ,0
 Pimiento Morrón Naranja Alsuper Por ... , $79.90, $99.90 ,KG,20
 Zanahoria Rayada Mr Lucky 200 G , $29.90,,1 PZ,0
 Manzana Granny  Alsuper Por Kg , $59.90, $89.90 ,KG,33
 Uva Blanca Sin Semilla Alsuper En Bo... , $32.90, $69.90 ,KG,53
 Carambolo Alsuper Por Kg , $99.90,,KG,0
 Uva Roja Alsuper En Bolsa Por Kg , $35.90, $59.90 ,KG,40
 Fondos De Alcachofa En Salmuera La H... , $249.90,,1 PZ,0
 Piloncillo Mybrand    2 Pieza , $26.90, $36.90 ,2 PZ,27
 Aderezo De Alcachofas La Hortaliza 3... , $69.90,,1 PZ,0
 Albahaca Aromatica M06     1 Pieza , $39.90,,1 PZ,0
 Romero Aromatica M06     1 Pieza , $39.90,,1 PZ,0
 Tomillo Aromatica M06     1 Pieza , $39.90,,1 PZ,0
 Elote Cocido En Grano  Los Aztecas D... , $49.90,,1 PZ,0
 Charola De Verduras Premium Alsuper ... , $46.90,,1 PZ,0
 Oregano Chihuahua Chihuahua  75 Gram... , $13.90, $18.90 ,75 GR,26
 Piloncillo Mini  Mybrand    1 Pieza , $29.90, $41.90 ,1 PZ,29
 Coco Fresco Alsuper Por Pieza , $26.90,,1 PZ,0
 Agua De Coco Natural Alsuper Con 473... , $39.90,,473 ML,0
 Microbicida  Mybrand 20 Mililit , $22.90,,20 ML,0
 Floretes De Brócoli Y Coliflor Mr. L... , $39.90,,1 PZ,0
 Floretes De Brócoli Coliflor Zanahor... , $42.90,,1 PZ,0
 Floretes De Brócoli Con Zanahoria Mr... , $42.90,,1 PZ,0
 Hongo Shitake Monte Blanco De 160 G , $49.90,,1 PZ,0
 Canela Entera 50 Grs     1 Pieza , $41.90, $49.90 ,1 PZ,16
 Huitlacoche  Los Aztecas 250 G , $29.90,,1 PZ,0
 Ajo Pelado Mr Lucky 280 Gramos , $86.90,,280 GR,0
 Durazno Alsuper Por Kg , $49.90, $99.90 ,KG,50
 Seta Seleccionada  Los Aztecas De 25... , $36.90,,1 PZ,0
 Nopal Picado En Salmuera Flor Azteca... , $29.90,,1 PZ,0
 Papa Blanca Sin Lavar Alsuper Por Kg , $29.90, $59.90 ,KG,50
 Shallot En Malla Mr Lucky 200 Gramos , $74.90,,200 GR,0
 Menta Aromatica M06     1 Pieza , $39.90,,1 PZ,0
 Hierbabuena Aromatica M06     1 Piez... , $39.90,,1 PZ,0
 Ruda Aromatica M06     1 Pieza , $39.90,,1 PZ,0
 Coliflor De Colores Mr Lucky    1 Pi... , $41.90,,1 PZ,0
 Tomate En Racimo Orgánico Mr Lucky 4... , $49.90,,1 PZ,0
 Desinfectante De Frutas Y Verduras S... , $73.90,,250 ML,0
 Veggie Snacks Mr Lucky    1 Pieza , $79.90,,1 PZ,0
 Tortillas De Jícama Alsuper Por Kg , $54.90,,KG,0
 Dientes De Ajo En Malla Alsuper Por ... , $32.90,,1 PZ,0
 Ajo En Malla Organico Campo Vivo Por... , $46.90,,120 GR,0
 Aguacate Hass Alsuper Por Kg , $64.90, $99.90 ,KG,35
 Pera De Anjou Alsuper Por Kg , $45.90, $79.90 ,KG,43
 Ajo Japones En Malla Alsuper Por Pie... , $89.90,,1 PZ,0
 Frijol Pinto Alsuper Por Kg , $29.90, $49.90 ,KG,40
 Ajo En Malla Con 4 Cabezas Alsuper  , $36.90, $49.90 ,1 PZ,26
 Ajo Elefante  1 Kilogram , $149.90,,KG,0
 Calabaza Butternut Alsuper Por Kg , $59.90,,KG,0
 Hongo Baby Bella Selección Monte Bla... , $49.90,,1 PZ,0
 Combo Champiñón Monte Blanco De 500 ... , $59.90,,1 PZ,0
 Nabo Japonés Alsuper Por Kg , $44.90,,KG,0
 Platano Exportacion Alsuper Por Kg , $24.90, $39.90 ,KG,38
 Durazno Premium Alsuper 1 Kilogram , $59.90, $119.90 ,KG,50
 Cebolla Morada Limpia Alsuper Por Kg , $39.90, $56.90 ,KG,30
 Mejorana Aromatica M06     1 Pieza , $39.90,,1 PZ,0
 Cebollita Cambray Premium    1 Manoj... , $14.90, $19.90 ,1 MA,25
 Cilantro Premium    1 Manojo , $9.90, $15.90 ,1 MA,38
 Perejil Chino Premium    1 Manojo , $19.90,,1 MA,0
 Alfalfa Manojo Alsuper Por Pieza , $14.90,,1 PZ,0
 Perejil Liso Premium    1 Manojo , $11.90,,1 MA,0
 Betabel Manojo Premium    1 Manojo , $26.90, $39.90 ,1 MA,33
 Acelga Premium    1 Manojo , $14.90, $19.90 ,1 MA,25
 Espinaca Premium    1 Manojo , $16.90, $22.90 ,1 MA,26
 Rabano Manojo Premium    1 Manojo , $14.90,,1 MA,0
 Cebollita De Rabo Premium    1 Manoj... , $13.90, $18.90 ,1 MA,26
 Hoja De Aguacate    1 Manojo , $18.90,,1 MA,0
 Verdolagas    1 Manojo , $18.90,,1 MA,0
 Epazote    1 Manojo , $18.90,,1 MA,0
 Desinfectante  Bio Citrico Microdyn ... , $44.90, $89.90 ,250 ML,50
 Hierbabuena    1 Manojo , $18.90,,1 MA,0
 Hierbas De Olor    1 Manojo , $18.90,,1 MA,0
 Hoja De Naranjo    1 Manojo , $18.90,,1 MA,0
 Kale    1 Manojo , $18.90,,1 MA,0
 Papaya Maradol Alsuper Por Kg , $36.90, $69.90 ,KG,47
 Huazontle    1 Manojo , $16.90,,1 MA,0
 Manzanilla    1 Manojo , $18.90,,1 MA,0
 Te De Limon    1 Manojo , $18.90,,1 MA,0
 Vaina De Pajaro    1 Manojo , $15.90,,1 MA,0
 Hoja De Laurel    1 Manojo , $18.90,,1 MA,0
 Cebollin Aromatica M06     1 Pieza , $39.90,,1 PZ,0
 Arnica    1 Manojo , $18.90,,1 MA,0
 Albahacar    1 Manojo , $18.90,,1 MA,0
 Papalo    1 Manojo , $18.90,,1 MA,0
 Ajo En Malla Con 2 Cabezas Alsuper  , $19.90, $21.90 ,1 PZ,9
 Hoja Santa    1 Manojo , $22.90,,1 MA,0
 Alfalfa    1 Manojo , $18.90,,1 MA,0
 Tomate Beef Alsuper Por Kg , $39.90,,KG,0
 Betabel Rayado Vegetalistos Por Piez... , $36.90,,1 PZ,0
 Rábano Largo Alsuper Por Pieza , $16.90,,1 PZ,0
 Mix Para Salsa Verde Alsuper Por Kg , $39.90, $59.90 ,KG,33
 Papa Cambray Alsuper Por Kg , $46.90,,KG,0
 Elote Amarillo Mr Lucky Con 3 Mr Luc... , $49.90,,3 PZ,0
 Plátano Orgánico Alsuper Por Kg , $28.90, $49.90 ,KG,42
 Napa Alsuper Por Pieza , $44.90,,1 PZ,0
 Mini Pepino  Mr Lucky 908 G , $72.90,,1 PZ,0
 Tomate Uva Orgánico Campo Vivo 280 G , $49.90,,1 PZ,0
 Bits De Brócoli Eva 454 G , $39.90,,1 PZ,0
 Penca Sábila Orgánica Okko    1 Piez... , $29.90,,1 PZ,0
 Espinaca Baby Con Quínoa Daily 210 G , $59.90,,1 PZ,0
 Mini Chile Morrón Orgánico Campo Viv... , $64.90,,1 PZ,0
 Papa  Blanca De Saltillo  1 Kilogram , $34.90, $79.90 ,KG,56
 Mix Germinado Alsuper 100 G , $39.90,,1 PZ,0
 Champiñon Fileteado Para Asar Monte ... , $56.90,,1 PZ,0
 Cebolla Perla Roja En Malla     1 Pi... , $69.90,,1 PZ,0
 Cebolla En Malla  Alsuper Por Kg , $16.90, $36.90 ,KG,54
 Cebolla Perla Blanca En Malla     1 ... , $69.90,,1 PZ,0
 Toronja Alsuper Por Kg , $39.90, $69.90 ,KG,43
 Ensalada Cesar Mr Lucky 284 G , $39.90,,1 PZ,0
 Espinaca En Bolsa Popeye Mr Lucky 28... , $54.90, $69.90 ,1 PZ,21
 Shallot Mr Lucky Por Kg , $279.90,,KG,0
 Coctel De Uva Blanca  Alsuper Por Pi... , $22.90,,1 PZ,0
 Coctel De Uva Roja Alsuper Por Pieza , $19.90, $29.90 ,1 PZ,33
 Jícama Alsuper Por Kg , $16.90, $29.90 ,KG,43
 Tomate Cherry Orgánico Campo Vivo 28... , $45.90,,1 PZ,0
 Aguacate En Malla Alsuper Por Pieza , $29.90, $53.90 ,1 PZ,45
 Col De Bruselas En Malla Alsuper    ... , $44.90,,1 PZ,0
 Zanahoria Baby Mr Lucky 454 G , $49.90,,1 PZ,0
 Col De Bruselas Orgánica Campo Vivo ... , $64.90,,1 PZ,0
